,Academic Year,County Code,District Code,County Name,District Name,Charter School,DASS,Reporting Category,Cumulative Enrollment,Homeless Student Enrollment,Temporarily Doubled Up,Temporary Shelters,Hotels/Motels,Temporarily Unsheltered,Missing/Unknown,Temporarily Doubled Up (percent),Temporary Shelters (percent),Hotels/Motels (percent),Temporarily Unsheltered (percent),Missing/Unknown (percent)
117,2019-20,10,76778.0,Fresno,Washington Unified,All,All,TA,3180,82,51,10,19,2,0,62.2,12.2,23.2,2.4,0.0
118,2019-20,10,62539.0,Fresno,West Park Elementary,All,All,TA,825,29,26,2,1,0,0,89.7,6.9,3.4,0.0,0.0
119,2019-20,10,62547.0,Fresno,Westside Elementary,All,All,TA,4378,53,37,3,5,7,1,69.8,5.7,9.4,13.2,1.9
120,2019-20,11,62554.0,Glenn,Capay Joint Union Elementary,All,All,TA,196,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
121,2019-20,11,10116.0,Glenn,Glenn County Office of Education,All,All,TA,599,6,6,0,0,0,0,100.0,0.0,0.0,0.0,0.0
122,2019-20,11,76562.0,Glenn,Hamilton Unified,All,All,TA,722,50,49,1,0,0,0,98.0,2.0,0.0,0.0,0.0
123,2019-20,11,62596.0,Glenn,Lake Elementary,All,All,TA,717,11,6,1,0,4,0,54.5,9.1,0.0,36.4,0.0
124,2019-20,11,75481.0,Glenn,Orland Joint Unified,All,All,TA,2369,77,68,4,2,3,0,88.3,5.2,2.6,3.9,0.0
125,2019-20,11,62638.0,Glenn,Plaza Elementary,All,All,TA,211,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
126,2019-20,11,62646.0,Glenn,Princeton Joint Unified,All,All,TA,161,14,14,0,0,0,0,100.0,0.0,0.0,0.0,0.0
127,2019-20,11,62653.0,Glenn,Stony Creek Joint Unified,All,All,TA,94,8,6,0,2,0,0,75.0,0.0,25.0,0.0,0.0
128,2019-20,11,62661.0,Glenn,Willows Unified,All,All,TA,1536,89,76,1,12,0,0,85.4,1.1,13.5,0.0,0.0
129,2019-20,12,62679.0,Humboldt,Arcata Elementary,All,All,TA,1211,34,24,5,4,1,0,70.6,14.7,11.8,2.9,0.0
130,2019-20,12,62695.0,Humboldt,Big Lagoon Union Elementary,All,All,TA,25,1,1,0,0,0,0,100.0,0.0,0.0,0.0,0.0
131,2019-20,12,62703.0,Humboldt,Blue Lake Union Elementary,All,All,TA,179,7,6,1,0,0,0,85.7,14.3,0.0,0.0,0.0
132,2019-20,12,62729.0,Humboldt,Bridgeville Elementary,All,All,TA,46,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
133,2019-20,12,62737.0,Humboldt,Cuddeback Union Elementary,All,All,TA,149,1,1,0,0,0,0,100.0,0.0,0.0,0.0,0.0
134,2019-20,12,62745.0,Humboldt,Cutten Elementary,All,All,TA,657,12,12,0,0,0,0,100.0,0.0,0.0,0.0,0.0
135,2019-20,12,75515.0,Humboldt,Eureka City Schools,All,All,TA,4113,288,176,59,32,21,0,61.1,20.5,11.1,7.3,0.0
136,2019-20,12,75374.0,Humboldt,Ferndale Unified,All,All,TA,486,15,13,2,0,0,0,86.7,13.3,0.0,0.0,0.0
137,2019-20,12,62794.0,Humboldt,Fieldbrook Elementary,All,All,TA,129,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
138,2019-20,12,76802.0,Humboldt,Fortuna Elementary,All,All,TA,1407,85,68,1,8,8,0,80.0,1.2,9.4,9.4,0.0
139,2019-20,12,62810.0,Humboldt,Fortuna Union High,All,All,TA,1124,35,29,2,0,2,2,82.9,5.7,0.0,5.7,5.7
140,2019-20,12,62828.0,Humboldt,Freshwater Elementary,All,All,TA,355,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
141,2019-20,12,62836.0,Humboldt,Garfield Elementary,All,All,TA,67,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
142,2019-20,12,62851.0,Humboldt,Green Point Elementary,All,All,TA,15,1,0,0,0,1,0,0.0,0.0,0.0,100.0,0.0
143,2019-20,12,10124.0,Humboldt,Humboldt County Office of Education,All,All,TA,1021,127,56,49,18,3,1,44.1,38.6,14.2,2.4,0.8
144,2019-20,12,62885.0,Humboldt,Hydesville Elementary,All,All,TA,211,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
145,2019-20,12,62893.0,Humboldt,Jacoby Creek Elementary,All,All,TA,471,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
146,2019-20,12,62901.0,Humboldt,Klamath-Trinity Joint Unified,All,All,TA,1071,76,48,10,1,17,0,63.2,13.2,1.3,22.4,0.0
147,2019-20,12,62919.0,Humboldt,Kneeland Elementary,All,All,TA,14,2,2,0,0,0,0,100.0,0.0,0.0,0.0,0.0
148,2019-20,12,62927.0,Humboldt,Loleta Union Elementary,All,All,TA,123,16,15,1,0,0,0,93.8,6.3,0.0,0.0,0.0
149,2019-20,12,62935.0,Humboldt,Maple Creek Elementary,All,All,TA,9,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
150,2019-20,12,75382.0,Humboldt,Mattole Unified,All,All,TA,62,4,2,0,0,2,0,50.0,0.0,0.0,50.0,0.0
151,2019-20,12,62950.0,Humboldt,McKinleyville Union Elementary,All,All,TA,1192,76,67,1,3,3,2,88.2,1.3,3.9,3.9,2.6
152,2019-20,12,62687.0,Humboldt,Northern Humboldt Union High,All,All,TA,1856,101,76,12,8,5,0,75.2,11.9,7.9,5.0,0.0
153,2019-20,12,62968.0,Humboldt,Orick Elementary,All,All,TA,18,3,0,2,1,0,0,0.0,66.7,33.3,0.0,0.0
154,2019-20,12,62976.0,Humboldt,Pacific Union Elementary,All,All,TA,642,25,14,5,3,3,0,56.0,20.0,12.0,12.0,0.0
155,2019-20,12,62984.0,Humboldt,Peninsula Union,All,All,TA,50,5,0,5,0,0,0,0.0,100.0,0.0,0.0,0.0
156,2019-20,12,63008.0,Humboldt,Rio Dell Elementary,All,All,TA,309,39,30,6,0,1,2,76.9,15.4,0.0,2.6,5.1
157,2019-20,12,63024.0,Humboldt,Scotia Union Elementary,All,All,TA,183,3,3,0,0,0,0,100.0,0.0,0.0,0.0,0.0
158,2019-20,12,63032.0,Humboldt,South Bay Union Elementary,All,All,TA,991,116,58,10,1,3,44,50.0,8.6,0.9,2.6,37.9
159,2019-20,12,63040.0,Humboldt,Southern Humboldt Joint Unified,All,All,TA,831,23,18,0,4,1,0,78.3,0.0,17.4,4.3,0.0
160,2019-20,12,63057.0,Humboldt,Trinidad Union Elementary,All,All,TA,211,4,2,0,0,2,0,50.0,0.0,0.0,50.0,0.0
161,2019-20,13,63073.0,Imperial,Brawley Elementary,All,All,TA,4187,82,60,5,17,0,0,73.2,6.1,20.7,0.0,0.0
162,2019-20,13,63081.0,Imperial,Brawley Union High,All,All,TA,2062,6,3,1,2,0,0,50.0,16.7,33.3,0.0,0.0
163,2019-20,13,63099.0,Imperial,Calexico Unified,All,All,TA,9421,860,830,11,14,2,3,96.5,1.3,1.6,0.2,0.3
164,2019-20,13,63107.0,Imperial,Calipatria Unified,All,All,TA,1198,19,5,5,3,6,0,26.3,26.3,15.8,31.6,0.0
165,2019-20,13,63115.0,Imperial,Central Union High,All,All,TA,4328,222,198,14,6,4,0,89.2,6.3,2.7,1.8,0.0
166,2019-20,13,63123.0,Imperial,El Centro Elementary,All,All,TA,5906,88,28,36,24,0,0,31.8,40.9,27.3,0.0,0.0
167,2019-20,13,63131.0,Imperial,Heber Elementary,All,All,TA,1297,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
168,2019-20,13,63149.0,Imperial,Holtville Unified,All,All,TA,1653,16,4,0,12,0,0,25.0,0.0,75.0,0.0,0.0
169,2019-20,13,10132.0,Imperial,Imperial County Office of Education,All,All,TA,1184,54,48,4,1,0,1,88.9,7.4,1.9,0.0,1.9
170,2019-20,13,63164.0,Imperial,Imperial Unified,All,All,TA,4502,353,350,1,0,2,0,99.2,0.3,0.0,0.6,0.0
171,2019-20,13,63172.0,Imperial,Magnolia Union Elementary,All,All,TA,137,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
172,2019-20,13,63180.0,Imperial,McCabe Union Elementary,All,All,TA,1389,1,0,1,0,0,0,0.0,100.0,0.0,0.0,0.0
173,2019-20,13,63198.0,Imperial,Meadows Union Elementary,All,All,TA,486,18,10,5,0,3,0,55.6,27.8,0.0,16.7,0.0
174,2019-20,13,63206.0,Imperial,Mulberry Elementary,All,All,TA,77,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
175,2019-20,13,63214.0,Imperial,San Pasqual Valley Unified,All,All,TA,712,96,78,12,3,2,1,81.3,12.5,3.1,2.1,1.0
176,2019-20,13,63222.0,Imperial,Seeley Union Elementary,All,All,TA,424,39,38,1,0,0,0,97.4,2.6,0.0,0.0,0.0
177,2019-20,13,63230.0,Imperial,Westmorland Union Elementary,All,All,TA,413,47,44,2,1,0,0,93.6,4.3,2.1,0.0,0.0
178,2019-20,14,63248.0,Inyo,Big Pine Unified,All,All,TA,159,1,1,0,0,0,0,100.0,0.0,0.0,0.0,0.0
179,2019-20,14,76687.0,Inyo,Bishop Unified,All,All,TA,2164,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
180,2019-20,14,63271.0,Inyo,Death Valley Unified,All,All,TA,32,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
181,2019-20,14,10140.0,Inyo,Inyo County Office of Education,All,All,TA,3017,179,76,63,16,23,1,42.5,35.2,8.9,12.8,0.6
182,2019-20,14,63289.0,Inyo,Lone Pine Unified,All,All,TA,351,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
183,2019-20,14,63297.0,Inyo,Owens Valley Unified,All,All,TA,88,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
184,2019-20,14,63305.0,Inyo,Round Valley Joint Elementary,All,All,TA,80,1,1,0,0,0,0,100.0,0.0,0.0,0.0,0.0
185,2019-20,15,63313.0,Kern,Arvin Union,All,All,TA,3286,250,227,14,6,0,3,90.8,5.6,2.4,0.0,1.2
